video,fps,sample_fps,count,sample_count
55user1_iw_1,1,1,8000,8000
55user2_iw_1,1,1,8000,8000
55user3_iw_1,1,1,8000,8000
55user4_iw_1,1,1,8000,8000
55user5_iw_1,1,1,8000,8000
55user1_ph_1,1,1,8000,8000
55user2_ph_1,1,1,8000,8000
55user3_ph_1,1,1,8000,8000
55user4_ph_1,1,1,8000,8000
55user5_ph_1,1,1,8000,8000
55user1_rp_1,1,1,8000,8000
55user2_rp_1,1,1,8000,8000
55user3_rp_1,1,1,8000,8000
55user4_rp_1,1,1,8000,8000
55user5_rp_1,1,1,8000,8000
55user1_sd_1,1,1,8000,8000
55user2_sd_1,1,1,8000,8000
55user3_sd_1,1,1,8000,8000
55user4_sd_1,1,1,8000,8000
55user5_sd_1,1,1,8000,8000
55user1_wd_1,1,1,8000,8000
55user2_wd_1,1,1,8000,8000
55user3_wd_1,1,1,8000,8000
55user4_wd_1,1,1,8000,8000
55user5_wd_1,1,1,8000,8000
55user1_iw_2,1,1,8000,8000
55user2_iw_2,1,1,8000,8000
55user3_iw_2,1,1,8000,8000
55user4_iw_2,1,1,8000,8000
55user5_iw_2,1,1,8000,8000
55user1_ph_2,1,1,8000,8000
55user2_ph_2,1,1,8000,8000
55user3_ph_2,1,1,8000,8000
55user4_ph_2,1,1,8000,8000
55user5_ph_2,1,1,8000,8000
55user1_rp_2,1,1,8000,8000
55user2_rp_2,1,1,8000,8000
55user3_rp_2,1,1,8000,8000
55user4_rp_2,1,1,8000,8000
55user5_rp_2,1,1,8000,8000
55user1_sd_2,1,1,8000,8000
55user2_sd_2,1,1,8000,8000
55user3_sd_2,1,1,8000,8000
55user4_sd_2,1,1,8000,8000
55user5_sd_2,1,1,8000,8000
55user1_wd_2,1,1,8000,8000
55user2_wd_2,1,1,8000,8000
55user3_wd_2,1,1,8000,8000
55user4_wd_2,1,1,8000,8000
55user5_wd_2,1,1,8000,8000
55user1_iw_3,1,1,8000,8000
55user2_iw_3,1,1,8000,8000
55user3_iw_3,1,1,8000,8000
55user4_iw_3,1,1,8000,8000
55user5_iw_3,1,1,8000,8000
55user1_ph_3,1,1,8000,8000
55user2_ph_3,1,1,8000,8000
55user3_ph_3,1,1,8000,8000
55user4_ph_3,1,1,8000,8000
55user5_ph_3,1,1,8000,8000
55user1_rp_3,1,1,8000,8000
55user2_rp_3,1,1,8000,8000
55user3_rp_3,1,1,8000,8000
55user4_rp_3,1,1,8000,8000
55user5_rp_3,1,1,8000,8000
55user1_sd_3,1,1,8000,8000
55user2_sd_3,1,1,8000,8000
55user3_sd_3,1,1,8000,8000
55user4_sd_3,1,1,8000,8000
55user5_sd_3,1,1,8000,8000
55user1_wd_3,1,1,8000,8000
55user2_wd_3,1,1,8000,8000
55user3_wd_3,1,1,8000,8000
55user4_wd_3,1,1,8000,8000
55user5_wd_3,1,1,8000,8000
55user1_iw_4,1,1,8000,8000
55user2_iw_4,1,1,8000,8000
55user3_iw_4,1,1,8000,8000
55user4_iw_4,1,1,8000,8000
55user5_iw_4,1,1,8000,8000
55user1_ph_4,1,1,8000,8000
55user2_ph_4,1,1,8000,8000
55user3_ph_4,1,1,8000,8000
55user4_ph_4,1,1,8000,8000
55user5_ph_4,1,1,8000,8000
55user1_rp_4,1,1,8000,8000
55user2_rp_4,1,1,8000,8000
55user3_rp_4,1,1,8000,8000
55user4_rp_4,1,1,8000,8000
55user5_rp_4,1,1,8000,8000
55user1_sd_4,1,1,8000,8000
55user2_sd_4,1,1,8000,8000
55user3_sd_4,1,1,8000,8000
55user4_sd_4,1,1,8000,8000
55user5_sd_4,1,1,8000,8000
55user1_wd_4,1,1,8000,8000
55user2_wd_4,1,1,8000,8000
55user3_wd_4,1,1,8000,8000
55user4_wd_4,1,1,8000,8000
55user5_wd_4,1,1,8000,8000
55user1_iw_5,1,1,8000,8000
55user2_iw_5,1,1,8000,8000
55user3_iw_5,1,1,8000,8000
55user4_iw_5,1,1,8000,8000
55user5_iw_5,1,1,8000,8000
55user1_ph_5,1,1,8000,8000
55user2_ph_5,1,1,8000,8000
55user3_ph_5,1,1,8000,8000
55user4_ph_5,1,1,8000,8000
55user5_ph_5,1,1,8000,8000
55user1_rp_5,1,1,8000,8000
55user2_rp_5,1,1,8000,8000
55user3_rp_5,1,1,8000,8000
55user4_rp_5,1,1,8000,8000
55user5_rp_5,1,1,8000,8000
55user1_sd_5,1,1,8000,8000
55user2_sd_5,1,1,8000,8000
55user3_sd_5,1,1,8000,8000
55user4_sd_5,1,1,8000,8000
55user5_sd_5,1,1,8000,8000
55user1_wd_5,1,1,8000,8000
55user2_wd_5,1,1,8000,8000
55user3_wd_5,1,1,8000,8000
55user4_wd_5,1,1,8000,8000
55user5_wd_5,1,1,8000,8000
