video,type,type_idx,start,end,startFrame,endFrame
55user1_iw_1,1,1,426,599,426,599
55user1_iw_1,1,1,949,1123,949,1123
55user1_iw_1,1,1,1484,1658,1484,1658
55user1_iw_1,1,1,1875,2052,1875,2052
55user1_iw_1,1,1,2404,2576,2404,2576
55user1_iw_1,2,2,2956,3198,2956,3198
55user1_iw_1,2,2,3542,3793,3542,3793
55user1_iw_1,2,2,4182,4468,4182,4468
55user1_iw_1,2,2,4874,5133,4874,5133
55user1_iw_1,2,2,5519,5800,5519,5800
55user2_iw_1,1,1,389,586,389,586
55user2_iw_1,1,1,937,1129,937,1129
55user2_iw_1,1,1,1466,1673,1466,1673
55user2_iw_1,1,1,1994,2183,1994,2183
55user2_iw_1,1,1,2542,2756,2542,2756
55user2_iw_1,2,2,3083,3311,3083,3311
55user2_iw_1,2,2,3668,3938,3668,3938
55user2_iw_1,2,2,4107,4347,4107,4347
55user2_iw_1,2,2,4731,4996,4731,4996
55user2_iw_1,2,2,5369,5613,5369,5613
55user3_iw_1,1,1,541,725,541,725
55user3_iw_1,1,1,1063,1196,1063,1196
55user3_iw_1,1,1,1547,1749,1547,1749
55user3_iw_1,1,1,2112,2326,2112,2326
55user3_iw_1,1,1,2845,3065,2845,3065
55user3_iw_1,2,2,3752,4033,3752,4033
55user3_iw_1,2,2,4518,4778,4518,4778
55user3_iw_1,2,2,5100,5400,5100,5400
55user3_iw_1,2,2,5862,6175,5862,6175
55user3_iw_1,2,2,6662,6967,6662,6967
55user4_iw_1,1,1,454,699,454,699
55user4_iw_1,1,1,1084,1376,1084,1376
55user4_iw_1,1,1,1784,2097,1784,2097
55user4_iw_1,1,1,2483,2781,2483,2781
55user4_iw_1,1,1,3170,3478,3170,3478
55user4_iw_1,2,2,3921,4193,3921,4193
55user4_iw_1,2,2,4574,4968,4574,4968
55user4_iw_1,2,2,5422,5862,5422,5862
55user4_iw_1,2,2,6267,6682,6267,6682
55user4_iw_1,2,2,7092,7459,7092,7459
55user5_iw_1,1,1,355,507,355,507
55user5_iw_1,1,1,913,1052,913,1052
55user5_iw_1,1,1,1431,1593,1431,1593
55user5_iw_1,1,1,1970,2134,1970,2134
55user5_iw_1,1,1,2517,2667,2517,2667
