video,type,type_idx,start,end,startFrame,endFrame
keynum_56,3,4,5063,5756,5063,5756
keynum_56,6,7,6778,7537,6778,7537
keynum_24,2,3,4410,5300,4410,5300
keynum_24,7,8,5496,6156,5496,6156
keynum_24,9,10,7044,7702,7044,7702
keynum_77,0,1,4479,5148,4479,5148
keynum_77,6,7,5716,6519,5716,6519
keynum_77,9,10,7087,7790,7087,7790
keynum_78,7,8,908,1811,908,1811
keynum_78,8,9,2313,3056,2313,3056
keynum_78,5,6,3517,4152,3517,4152
keynum_78,2,3,4687,5491,4687,5491
keynum_78,3,4,6026,6661,6026,6661
keynum_78,4,5,7263,7999,7263,7999
keynum_8,3,4,780,2043,780,2043
keynum_8,8,9,3179,3813,3179,3813
keynum_8,1,2,5082,6018,5082,6018
keynum_8,5,6,6852,7621,6852,7621
keynum_57,0,1,327,1118,327,1118
keynum_57,7,8,2009,2701,2009,2701
keynum_57,2,3,3526,4384,3526,4384
keynum_57,5,6,5439,6198,5439,6198
keynum_57,4,5,6924,7782,6924,7782
keynum_66,7,8,503,1313,503,1313
keynum_66,8,9,1920,2695,1920,2695
keynum_66,5,6,3572,4280,3572,4280
keynum_66,2,3,4752,5595,4752,5595
keynum_66,3,4,6370,7247,6370,7247
keynum_67,4,5,561,1505,561,1505
keynum_67,1,2,1977,2921,1977,2921
keynum_69,7,8,413,1189,413,1189
keynum_69,8,9,1728,2503,1728,2503
keynum_69,5,6,3043,3819,3043,3819
keynum_69,2,3,4258,5235,4258,5235
keynum_69,3,4,5740,6415,5740,6415
keynum_69,4,5,7224,7999,7224,7999
keynum_21,2,3,4475,5266,4475,5266
keynum_21,7,8,5595,6386,5595,6386
keynum_21,9,10,7242,7999,7242,7999
keynum_29,1,2,621,1480,621,1480
keynum_29,5,6,2835,3662,2835,3662
keynum_29,6,7,4620,5454,4620,5454
keynum_10,4,5,1233,2101,1233,2101
keynum_10,0,1,3437,4105,3437,4105
keynum_10,3,4,5240,6141,5240,6141
keynum_10,8,9,6743,7476,6743,7476
keynum_34,7,8,386,1091,386,1091
keynum_34,2,3,1794,2599,1794,2599
keynum_34,5,6,3201,4039,3201,4039
keynum_34,4,5,4945,5715,4945,5715
keynum_34,1,2,6620,7626,6620,7626
keynum_4,4,5,989,1726,989,1726
keynum_4,0,1,2363,3004,2363,3004
keynum_4,3,4,3840,4544,3840,4544
keynum_4,8,9,5684,6422,5684,6422
keynum_4,1,2,7127,7999,7127,7999
keynum_38,4,5,646,1555,646,1555
keynum_38,1,2,2799,3574,2799,3574
keynum_38,9,10,4483,5122,4483,5122
keynum_38,8,9,6030,6737,6030,6737
keynum_59,0,1,4313,5168,4313,5168
keynum_59,6,7,5991,6715,5991,6715
keynum_59,9,10,7308,7999,7308,7999
keynum_54,7,8,48,806,48,806
keynum_54,2,3,1563,2354,1563,2354
keynum_54,5,6,3341,4132,3341,4132
keynum_54,4,5,5186,5910,5186,5910
keynum_54,1,2,6865,7623,6865,7623
keynum_1,0,1,706,1415,706,1415
keynum_1,3,4,2358,3201,2358,3201
keynum_1,8,9,3710,4348,3710,4348
keynum_1,1,2,4921,5865,4921,5865
keynum_1,5,6,6708,7517,6708,7517
keynum_76,1,2,107,948,107,948
keynum_68,0,1,3852,4560,3852,4560
keynum_68,6,7,5673,6482,5673,6482
keynum_68,9,10,7358,7999,7358,7999
keynum_42,3,4,5105,5777,5105,5777
keynum_42,6,7,6037,6638,6037,6638
keynum_42,0,1,7136,7769,7136,7769
keynum_48,7,8,695,1392,695,1392
keynum_48,2,3,2055,2951,2055,2951
keynum_48,5,6,3748,4543,3748,4543
keynum_48,4,5,5041,5837,5041,5837
keynum_48,1,2,6502,7563,6502,7563
keynum_32,9,10,565,1169,565,1169
keynum_32,8,9,1905,2576,1905,2576
keynum_47,3,4,4017,4813,4017,4813
keynum_47,6,7,5676,6373,5676,6373
keynum_47,0,1,7302,7999,7302,7999
keynum_60,7,8,66,1021,66,1021
keynum_60,8,9,2042,2930,2042,2930
keynum_60,5,6,4148,4971,4148,4971
keynum_60,2,3,5761,6617,5761,6617
keynum_60,3,4,7341,7999,7341,7999
keynum_64,4,5,5,998,5,998
keynum_64,1,2,1761,2820,1761,2820
keynum_82,3,4,55,826,55,826
keynum_82,4,5,2033,2769,2033,2769
keynum_82,1,2,3474,4412,3474,4412
keynum_84,7,8,268,901,268,901
keynum_84,8,9,1367,2067,1367,2067
keynum_84,5,6,2700,3466,2700,3466
keynum_84,2,3,3799,4598,3799,4598
keynum_84,3,4,5132,5764,5132,5764
keynum_84,4,5,6297,7130,6297,7130
keynum_20,5,6,188,980,188,980
keynum_20,6,7,1773,2433,1773,2433
