video,fps,sample_fps,count,sample_count
keynum_56,1,1,8000,8000
keynum_24,1,1,8000,8000
keynum_77,1,1,8000,8000
keynum_78,1,1,8000,8000
keynum_8,1,1,8000,8000
keynum_57,1,1,8000,8000
keynum_66,1,1,8000,8000
keynum_67,1,1,8000,8000
keynum_69,1,1,8000,8000
keynum_21,1,1,8000,8000
keynum_29,1,1,8000,8000
keynum_10,1,1,8000,8000
keynum_34,1,1,8000,8000
keynum_4,1,1,8000,8000
keynum_38,1,1,8000,8000
keynum_59,1,1,8000,8000
keynum_54,1,1,8000,8000
keynum_1,1,1,8000,8000
keynum_76,1,1,8000,8000
keynum_68,1,1,8000,8000
keynum_42,1,1,8000,8000
keynum_48,1,1,8000,8000
keynum_32,1,1,8000,8000
keynum_47,1,1,8000,8000
keynum_60,1,1,8000,8000
keynum_64,1,1,8000,8000
keynum_82,1,1,8000,8000
keynum_84,1,1,8000,8000
keynum_20,1,1,8000,8000
keynum_80,1,1,8000,8000
keynum_30,1,1,8000,8000
keynum_19,1,1,8000,8000
keynum_52,1,1,8000,8000
keynum_51,1,1,8000,8000
keynum_71,1,1,8000,8000
keynum_26,1,1,8000,8000
keynum_5,1,1,8000,8000
keynum_25,1,1,8000,8000
keynum_22,1,1,8000,8000
keynum_58,1,1,8000,8000
keynum_43,1,1,8000,8000
keynum_55,1,1,8000,8000
keynum_9,1,1,8000,8000
keynum_39,1,1,8000,8000
keynum_81,1,1,8000,8000
keynum_87,1,1,8000,8000
keynum_44,1,1,8000,8000
keynum_63,1,1,8000,8000
keynum_31,1,1,8000,8000
keynum_72,1,1,8000,8000
keynum_40,1,1,8000,8000
keynum_14,1,1,8000,8000
keynum_75,1,1,8000,8000
keynum_74,1,1,8000,8000
keynum_28,1,1,8000,8000
keynum_33,1,1,8000,8000
keynum_50,1,1,8000,8000
keynum_13,1,1,8000,8000
keynum_36,1,1,8000,8000
keynum_83,1,1,8000,8000
keynum_15,1,1,8000,8000
keynum_11,1,1,8000,8000
keynum_0,1,1,8000,8000
keynum_73,1,1,8000,8000
keynum_79,1,1,8000,8000
keynum_27,1,1,8000,8000
keynum_62,1,1,8000,8000
keynum_6,1,1,8000,8000
keynum_16,1,1,8000,8000
keynum_70,1,1,8000,8000
keynum_18,1,1,8000,8000
