fileNumber,activityNumber,startPoint,endPoint,fileName,ativityCategory
1,1,389,586,user2_iw_1,1
1,2,937,1129,user2_iw_1,1
1,3,1466,1673,user2_iw_1,1
1,4,1994,2183,user2_iw_1,1
1,5,2542,2756,user2_iw_1,1
1,6,3083,3311,user2_iw_1,2
1,7,3668,3938,user2_iw_1,2
1,8,4107,4347,user2_iw_1,2
1,9,4731,4996,user2_iw_1,2
1,10,5369,5613,user2_iw_1,2
2,1,417,633,user2_iw_2,1
2,2,985,1218,user2_iw_2,1
2,3,1573,1797,user2_iw_2,1
2,4,2188,2423,user2_iw_2,1
2,5,2744,2954,user2_iw_2,1
2,6,3282,3552,user2_iw_2,2
2,7,3926,4074,user2_iw_2,2
2,8,4375,4641,user2_iw_2,2
2,9,5030,5295,user2_iw_2,2
2,10,5660,5950,user2_iw_2,2
3,1,448,645,user2_iw_3,1
3,2,1022,1239,user2_iw_3,1
3,3,1634,1866,user2_iw_3,1
3,4,2213,2437,user2_iw_3,1
3,5,2819,3043,user2_iw_3,1
3,6,3392,3623,user2_iw_3,2
3,7,3887,4121,user2_iw_3,2
3,8,4532,4832,user2_iw_3,2
3,9,5200,5480,user2_iw_3,2
3,10,5875,6165,user2_iw_3,2
4,1,389,612,user2_iw_4,1
4,2,948,1187,user2_iw_4,1
4,3,1544,1775,user2_iw_4,1
4,4,2090,2249,user2_iw_4,1
4,5,2468,2669,user2_iw_4,1
4,6,3038,3280,user2_iw_4,2
4,7,3659,3915,user2_iw_4,2
4,8,4272,4547,user2_iw_4,2
4,9,4960,5225,user2_iw_4,2
4,10,5648,5933,user2_iw_4,2
5,1,390,585,user2_iw_5,1
5,2,895,1086,user2_iw_5,1
5,3,1316,1524,user2_iw_5,1
5,4,1858,2060,user2_iw_5,1
5,5,2381,2597,user2_iw_5,1
5,6,2930,3185,user2_iw_5,2
5,7,3593,3866,user2_iw_5,2
5,8,4306,4591,user2_iw_5,2
5,9,4975,5265,user2_iw_5,2
5,10,5675,5955,user2_iw_5,2
6,1,382,594,user2_iw_6,1
6,2,984,1179,user2_iw_6,1
6,3,1546,1779,user2_iw_6,1
6,4,2121,2374,user2_iw_6,1
6,5,2724,2971,user2_iw_6,1
6,6,3314,3598,user2_iw_6,2
6,7,4017,4306,user2_iw_6,2
6,8,4705,4996,user2_iw_6,2
6,9,5362,5548,user2_iw_6,2
6,10,5938,6240,user2_iw_6,2
7,1,515,760,user2_ph_1,3
7,2,1187,1433,user2_ph_1,3
7,3,1692,1955,user2_ph_1,3
7,4,2290,2585,user2_ph_1,3
7,5,2920,3209,user2_ph_1,3
7,6,3569,3851,user2_ph_1,4
7,7,4218,4540,user2_ph_1,4
7,8,4918,5195,user2_ph_1,4
7,9,5575,5895,user2_ph_1,4
7,10,6276,6550,user2_ph_1,4
8,1,442,719,user2_ph_2,3
8,2,1070,1333,user2_ph_2,3
8,3,1746,2050,user2_ph_2,3
8,4,2358,2650,user2_ph_2,3
8,5,3030,3301,user2_ph_2,3
8,6,3644,3996,user2_ph_2,4
8,7,4427,4752,user2_ph_2,4
8,8,5096,5339,user2_ph_2,4
8,9,5764,6110,user2_ph_2,4
8,10,6500,6795,user2_ph_2,4
9,1,443,676,user2_ph_3,3
9,2,1075,1312,user2_ph_3,3
9,3,1643,1919,user2_ph_3,3
9,4,2280,2539,user2_ph_3,3
9,5,2887,3121,user2_ph_3,3
9,6,3501,3839,user2_ph_3,4
9,7,4187,4527,user2_ph_3,4
9,8,4876,5170,user2_ph_3,4
9,9,5365,5665,user2_ph_3,4
9,10,6025,6290,user2_ph_3,4
10,1,476,690,user2_ph_4,3
10,2,1024,1248,user2_ph_4,3
10,3,1608,1862,user2_ph_4,3
10,4,2224,2461,user2_ph_4,3
10,5,2835,2979,user2_ph_4,3
10,6,3230,3465,user2_ph_4,4
10,7,3847,4117,user2_ph_4,4
10,8,4497,4782,user2_ph_4,4
10,9,5140,5400,user2_ph_4,4
10,10,5805,6100,user2_ph_4,4
11,1,445,680,user2_ph_5,3
11,2,1062,1299,user2_ph_5,3
11,3,1529,1720,user2_ph_5,3
11,4,2143,2361,user2_ph_5,3
11,5,2719,2954,user2_ph_5,3
11,6,3324,3561,user2_ph_5,4
11,7,3966,4209,user2_ph_5,4
11,8,4570,4811,user2_ph_5,4
11,9,5185,5430,user2_ph_5,4
11,10,5785,6035,user2_ph_5,4
12,1,227,449,user2_ph_6,3
12,2,822,1031,user2_ph_6,3
12,3,1406,1629,user2_ph_6,3
12,4,2033,2257,user2_ph_6,3
12,5,2609,2827,user2_ph_6,3
12,6,3192,3453,user2_ph_6,4
12,7,3820,4072,user2_ph_6,4
12,8,4461,4745,user2_ph_6,4
12,9,5120,5379,user2_ph_6,4
12,10,5650,5855,user2_ph_6,4
13,1,486,696,user2_rp_1,5
13,2,1076,1292,user2_rp_1,5
13,3,1625,1787,user2_rp_1,5
13,4,2195,2434,user2_rp_1,5
13,5,2759,3005,user2_rp_1,5
13,6,3420,3684,user2_rp_1,6
13,7,4125,4410,user2_rp_1,6
13,8,4814,5120,user2_rp_1,6
13,9,5556,5885,user2_rp_1,6
13,10,6253,6586,user2_rp_1,6
14,1,430,619,user2_rp_2,5
14,2,990,1179,user2_rp_2,5
14,3,1556,1750,user2_rp_2,5
14,4,2138,2328,user2_rp_2,5
14,5,2730,2931,user2_rp_2,5
14,6,3400,3660,user2_rp_2,6
14,7,4147,4394,user2_rp_2,6
14,8,4656,4854,user2_rp_2,6
14,9,5288,5555,user2_rp_2,6
14,10,5981,6267,user2_rp_2,6
15,1,402,580,user2_rp_3,5
15,2,946,1137,user2_rp_3,5
15,3,1488,1689,user2_rp_3,5
15,4,2034,2232,user2_rp_3,5
15,5,2588,2759,user2_rp_3,5
15,6,3013,3280,user2_rp_3,6
15,7,3678,4042,user2_rp_3,6
15,8,4388,4769,user2_rp_3,6
15,9,5164,5543,user2_rp_3,6
15,10,6020,6400,user2_rp_3,6
16,1,454,657,user2_rp_4,5
16,2,1042,1228,user2_rp_4,5
16,3,1634,1853,user2_rp_4,5
16,4,2229,2447,user2_rp_4,5
16,5,2819,3017,user2_rp_4,5
16,6,3402,3561,user2_rp_4,6
16,7,3886,4141,user2_rp_4,6
16,8,4556,4843,user2_rp_4,6
16,9,5305,5605,user2_rp_4,6
16,10,5996,6286,user2_rp_4,6
17,1,230,417,user2_rp_5,5
17,2,809,1027,user2_rp_5,5
17,3,1395,1594,user2_rp_5,5
17,4,2001,2204,user2_rp_5,5
17,5,2605,2804,user2_rp_5,5
17,6,3236,3560,user2_rp_5,6
17,7,4014,4388,user2_rp_5,6
17,8,4745,5136,user2_rp_5,6
17,9,5563,5866,user2_rp_5,6
17,10,6182,6615,user2_rp_5,6
18,1,466,647,user2_rp_6,5
18,2,1044,1242,user2_rp_6,5
18,3,1621,1818,user2_rp_6,5
18,4,2224,2421,user2_rp_6,5
18,5,2789,2988,user2_rp_6,5
18,6,3360,3664,user2_rp_6,6
18,7,3944,4164,user2_rp_6,6
18,8,4531,4859,user2_rp_6,6
18,9,5268,5640,user2_rp_6,6
18,10,6035,6450,user2_rp_6,6
19,1,517,722,user2_sd_1,7
19,2,1116,1342,user2_sd_1,7
19,3,1689,1907,user2_sd_1,7
19,4,2245,2455,user2_sd_1,7
19,5,2831,3041,user2_sd_1,7
